no,totalarea,sitearea,buildingarea,typicalfloorheight,totalheight,basement,groundlevel,parkinglot,type,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,year,buildingcost,duration
171,10378.1,12806.7,3585.56,3.7,15,1,4,49,9,0,0,0,0,0,0,0,0,1,0,0,2016,10557,350
172,11697.4,15474,3409.78,3.6,20.15,1,5,59,9,0,0,0,0,0,0,0,0,1,0,0,2016,12644,410
173,7076,6622.67,2028.54,3.9,55.3,1,13,69,9,0,0,0,0,0,0,0,0,1,0,0,2016,6772,600
174,11791,751255,2229.39,4.2,35.2,0,8,41,9,0,0,0,0,0,0,0,0,1,0,0,2016,13008,720
175,7075.01,160061,2358.36,4.5,21,0,5,24,9,0,0,0,0,0,0,0,0,1,0,0,2016,9257,1000
176,9556.54,4523.41,1403.81,4.2,53.2,1,13,48,9,0,0,0,0,0,0,0,0,1,0,0,2016,10659,800
177,6076,13227,2018.21,4.2,19.15,1,4,78,6,0,0,0,0,0,1,0,0,0,0,0,2016,6486,510
178,12685.7,9200,2757.85,4.2,27.6,1,6,132,6,0,0,0,0,0,1,0,0,0,0,0,2016,13657,660
179,2501.02,16996,975.03,3.6,13.2,0,3,22,6,0,0,0,0,0,1,0,0,0,0,0,2016,2760,240
180,5937.7,14146,3417.6,4.2,15.01,1,3,160,6,0,0,0,0,0,1,0,0,0,0,0,2016,7606,550
181,9913.85,30680,2726.49,3.3,31.2,1,8,31,10,0,0,0,0,0,0,0,0,0,1,0,2016,12760,720
182,1207.4,58323,1119.13,4.2,9.8,0,2,4,10,0,0,0,0,0,0,0,0,0,1,0,2016,1879,240
183,10271.16,92564,4965.77,4.2,16.5,1,4,137,10,0,0,0,0,0,0,0,0,0,1,0,2016,12859,720
184,2277.84,19400,1110.56,4.2,16.5,0,4,2,10,0,0,0,0,0,0,0,0,0,1,0,2016,3445,420
185,4423.25,55950.78,1204.34,4.2,29.58,1,4,247,7,0,0,0,0,0,0,1,0,0,0,0,2016,5948,450
186,11953.82,19957.16,5483.72,4.2,25.5,1,5,83,7,0,0,0,0,0,0,1,0,0,0,0,2016,9765,920
187,7945.82,70632.6,1728.13,4.2,29.15,2,4,20,8,0,0,0,0,0,0,0,1,0,0,0,2016,12198,600
188,6496.87,22984,4198.56,5.5,13.9,1,2,79,8,0,0,0,0,0,0,0,1,0,0,0,2016,9489,540
189,868.12,803705,981.89,4.6,14.7,0,2,107,8,0,0,0,0,0,0,0,1,0,0,0,2016,1269,240
190,12976.04,7383.4,3940.41,4.2,30.1,1,5,706,8,0,0,0,0,0,0,0,1,0,0,0,2016,18262,570
191,5570.51,10703.7,4342.8,4.2,13.85,1,3,77,1,1,0,0,0,0,0,0,0,0,0,0,2016,9399,420
192,3072.26,11155,1727.76,5,11.4,1,2,107,1,1,0,0,0,0,0,0,0,0,0,0,2016,4262,330
193,10979,28547.05,2726.44,4,35.45,1,8,116,4,0,0,0,1,0,0,0,0,0,0,0,2016,11704,600
194,6206.6,100978.1,1761.145,4.2,16.85,1,3,76,2,0,1,0,0,0,0,0,0,0,0,0,2016,6535,600
195,5113.98,100506,2648.6,4.8,23.7,1,3,55,2,0,1,0,0,0,0,0,0,0,0,0,2016,7081,480
196,27020,3195.177,22304.3,4.2,16.8,1,4,142,2,0,1,0,0,0,0,0,0,0,0,0,2016,23493,720
197,9970.75,4972,1766.04,3.9,43.2,0,10,42,2,0,1,0,0,0,0,0,0,0,0,0,2016,10194,1440
198,1783.63,6611.4,841.41,4.3,13.95,1,3,59,2,0,1,0,0,0,0,0,0,0,0,0,2016,2440,300
199,325,180095,325,4.2,8.75,0,1,5,2,0,1,0,0,0,0,0,0,0,0,0,2016,421,120
200,1809.12,2878.5,1157.66,3.6,17.57,1,4,45,2,0,1,0,0,0,0,0,0,0,0,0,2016,2926,540
201,704.14,10073.5,380.68,4.9,16.4,0,2,107,2,0,1,0,0,0,0,0,0,0,0,0,2016,1097,120
202,4346.86,9900,2575.84,4.2,15.4,0,3,36,2,0,1,0,0,0,0,0,0,0,0,0,2016,4895,365
203,3799.96,6610.08,1482.53,4.5,17.4,1,3,74,2,0,1,0,0,0,0,0,0,0,0,0,2016,4181,518
204,6105.76,16361.46,2231.84,4.2,14.95,1,3,75,2,0,1,0,0,0,0,0,0,0,0,0,2016,7550,540
205,4598.2,975496.7,1308.96,3.9,25.1,1,4,23,2,0,1,0,0,0,0,0,0,0,0,0,2016,6875,720
206,9269.19,29882.8,5327.19,7.8,24.5,1,3,42,2,0,1,0,0,0,0,0,0,0,0,0,2016,13407,300
207,3701.01,374113,902.32,3.9,23.4,1,5,107,2,0,1,0,0,0,0,0,0,0,0,0,2016,4261,600
208,12500,43323,7017.53,4.2,24.4,1,5,65,2,0,1,0,0,0,0,0,0,0,0,0,2016,17342,420
209,3742.36,6600,1922.8,3.9,16.3,1,3,28,2,0,1,0,0,0,0,0,0,0,0,0,2016,4865,365
210,2401.7,9330.3,755.27,4.2,18.45,1,3,51,1,1,0,0,0,0,0,0,0,0,0,0,2016,2342,240
